"LABEL","PLATFORM","TYPE","RUSSIAN","ENGLISH","AMERICAN"
"A00_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Collect all the trophies","Соберите все трофеи","Соберите все трофеи"
"A00_DESC2_OF_ACHIEVEMENT","All","Marketing","Collected all the trophies","Все трофеи собраны","Все трофеи собраны"
"A00_NAME_OF_ACHIEVEMENT","All","Ach_Name","Vortech's Bane","Погибель Вортекса","Погибель Вортекса"
"A01_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Follow the LEGO Brick Road''","Пройдите ''По дороге из LEGO-кирпичей''","Пройдите ''По дороге из LEGO-кирпичей''"
"A01_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Follow the LEGO Brick Road''","Уровень ''По дороге из LEGO-кирпичей'' пройден","Уровень ''По дороге из LEGO-кирпичей'' пройден"
"A01_NAME_OF_ACHIEVEMENT","All","Ach_Name","There's no Place Like... This.","Нет места лучше... этого.","Нет места лучше... этого."
"A02_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Meltdown at Sector 7-G''","Пройдите ''Катастрофа в секторе 7-G''","Пройдите ''Катастрофа в секторе 7-G''"
"A02_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Meltdown at Sector 7-G''","Уровень ''Катастрофа в секторе 7-G'' пройден","Уровень ''Катастрофа в секторе 7-G'' пройден"
"A02_NAME_OF_ACHIEVEMENT","All","Ach_Name","Chroma Simpson","Хрома Симпсон","Хрома Симпсон"
"A03_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Elements of Surprise''","Пройдите ''Неожиданные стихии''","Пройдите ''Неожиданные стихии''"
"A03_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Elements of Surprise''","Уровень ''Неожиданные стихии'' пройден","Уровень ''Неожиданные стихии'' пройден"
"A03_NAME_OF_ACHIEVEMENT","All","Ach_Name","Of Mice and Chen","О мышах и Чене","О мышах и Чене"
"A04_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''A Dalektable Adventure''","Пройдите ''Далекательное приключение''","Пройдите ''Далекательное приключение''"
"A04_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''A Dalektable Adventure''","Уровень ''Далекательное приключение'' пройден","Уровень ''Далекательное приключение'' пройден"
"A04_NAME_OF_ACHIEVEMENT","All","Ach_Name","In the Nick of Timey-Wimey","Как раз вовремя-вовремя","Как раз вовремя-вовремя"
"A05_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Painting the Town Black''","Пройдите ''Перекрасим город в чёрный''","Пройдите ''Перекрасим город в чёрный''"
"A05_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Painting the Town Black''","Уровень ''Перекрасим город в чёрный'' пройден","Уровень ''Перекрасим город в чёрный'' пройден"
"A05_NAME_OF_ACHIEVEMENT","All","Ach_Name","Simply Walked Into... Metropolis","Просто вошёл в... Метрополис","Просто вошёл в... Метрополис"
