"LABEL","PLATFORM","TYPE","ENGLISH","AMERICAN","FRENCH","GERMAN","SPANISH","ITALIAN","DANISH","FRENCH CANADIAN","DUTCH","MEXICAN"
"","","","","","","","","","","","",""
"A00_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Collect all the trophies","Collect all the trophies","Récoltez tous les trophées.","Sammle alle Trophäen","Colecciona todos los trofeos","Raccogli tutti i trofei","Indsaml alle trophies","Récoltez tous les trophées.","Verzamel alle trofeeën","Recolecta todos los trofeos"
"A00_DESC2_OF_ACHIEVEMENT","All","Marketing","Collected all the trophies","Collected all the trophies","Vous avez récolté tous les trophées.","Du hast alle Trophäen gesammelt","Coleccionaste todos los trofeos","Hai raccolto tutti i trofei","Indsamlede alle trophies","Vous avez récolté tous les trophées.","Alle trofeeën verzameld","Recolectaste todos los trofeos"
"A00_NAME_OF_ACHIEVEMENT","All","Ach_Name","Vortech's Bane","Vortech's Bane","Le fléau de Vortech","Vortechs Verderben","La pesadilla de Vortech","La rovina di Vortech","Vortechs ømme punkt","Le fléau de Vortech","Vortechs Verderf","Bane con Vortech"
"A01_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Follow the LEGO Brick Road''","Complete ''Follow the LEGO Brick Road''","Terminez ''Suivez la route de brique LEGO jaune''.","Beende „Folge dem LEGO-Stein-Weg“","Completa «Sigue el camino de ladrillos de LEGO»","Completa ''Segui la strada di mattoncini LEGO''","Gennemfør 'Følg LEGO klods-vejen'","Terminez ''Suivez la route de brique LEGO jaune''.","Voltooi 'Volg het pad met de LEGO-stenen'","Completa «Sigue el camino de ladrillos LEGO»"
"A01_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Follow the LEGO Brick Road''","Completed ''Follow the LEGO Brick Road''","Vous avez terminé ''Suivez la route de brique LEGO jaune''.","Du hast „Folge dem LEGO-Stein-Weg“ beendet","Completaste «Sigue el camino de ladrillos de LEGO»","Hai completato ''Segui la strada di mattoncini LEGO''","Gennemførte 'Følg LEGO klods-vejen'","Vous avez terminé ''Suivez la route de brique LEGO jaune''.","Voltooid: 'Volg het pad met de LEGO-stenen'","Completaste «Sigue el camino de ladrillos LEGO»"
"A01_NAME_OF_ACHIEVEMENT","All","Ach_Name","There's no Place Like... This.","There's no Place Like... This.","On est bien chez... ici","Nirgends ist es so wie ... hier","No hay como estar... aquí","Un posto come nessun altro","Ude godt, men hjemme...","On est bien chez... ici","Zoals het klokje thuis tikt...","No hay lugar como... este."
"A02_DESC_OF_ACHIEVEMENT","All","Ach_Desc","Complete ''Meltdown at Sector 7-G''","Complete ''Meltdown at Sector 7-G''","Terminez ''Fusion dans le Secteur 7-G''.","Beende „Kernschmelze in Sektor 7-G“","Completa «Fusión en el sector 7-G»","Completa ''Crisi al settore 7G''","Gennemfør 'Nedsmeltning i sektor 7-G'","Terminez ''Fusion dans le Secteur 7-G''.","Voltooi 'Kernsmelting in sector 7-G'","Completa «Fusión en el sector 7-G»"
"A02_DESC2_OF_ACHIEVEMENT","All","Marketing","Completed ''Meltdown at Sector 7-G''","Completed ''Meltdown at Sector 7-G''","Vous avez terminé ''Fusion dans le Secteur 7-G''.","Du hast „Kernschmelze in Sektor 7-G“ beendet","Completaste «Fusión en el sector 7-G»","Hai completato ''Crisi al settore 7G''","Gennemførte 'Nedsmeltning i sektor 7-G'","Vous avez terminé ''Fusion dans le Secteur 7-G''.","Voltooid: 'Kernsmelting in sector 7-G'","Completaste «Fusión en el sector 7-G»"
"A02_NAME_OF_ACHIEVEMENT","All","Ach_Name","Chroma Simpson","Chroma Simpson","Chroma Simpson","Wen nennst du einen Dummy?","Croma Simpson","Simpson cromatico","Chroma Simpson","Chroma Simpson","Chroma Simpson","Chroma Simpson"
